A,1,0,0,1,-87,
A,1,2,1000,1,-87,
A,1,3,1500,1,-87,
A,1,4,2000,1,-92,
A,1,5,2500,1,-87,
A,1,0,0,2,-87,
A,1,1,500,2,-87,
A,1,2,1000,2,-87,
A,1,3,1500,2,-87,
A,1,4,2000,2,-87,
A,1,5,2500,2,-87,
A,1,6,3000,2,-87,
A,1,7,3500,2,-87,
A,1,8,4000,2,-87,
A,1,9,4500,2,-87,
A,1,0,0,3,-87,
A,1,1,500,3,-87,
A,1,2,1000,3,-87,
A,1,3,1500,3,-87,
A,1,4,2000,3,-87,
A,1,5,2500,3,-87,
A,1,6,3000,3,-87,
A,1,8,4000,3,-87,
A,1,9,4500,3,-87,
A,1,0,0,4,-83,
A,1,1,500,4,-83,
A,1,2,1000,4,-83,
A,1,3,1500,4,-83,
A,1,4,2000,4,-83,
A,1,6,3000,4,-83,
A,1,7,3500,4,-83,
A,1,8,4000,4,-83,
A,1,9,4500,4,-83,
A,1,0,0,5,-83,
A,1,1,500,5,-83,
A,1,2,1000,5,-78,
A,1,3,1500,5,-83,
A,1,4,2000,5,-78,
A,1,5,2500,5,-78,
A,1,6,3000,5,-83,
A,1,7,3500,5,-83,
A,1,8,4000,5,-83,
A,1,9,4500,5,-83,
A,1,0,0,6,-78,
A,1,1,500,6,-78,
A,1,2,1000,6,-78,
A,1,3,1500,6,-78,
A,1,4,2000,6,-78,
A,1,5,2500,6,-78,
A,1,6,3000,6,-78,
A,1,7,3500,6,-66,
A,1,8,4000,6,-78,
A,1,0,0,7,-73,
A,1,1,500,7,-73,
A,1,2,1000,7,-78,
A,1,3,1500,7,-73,
A,1,4,2000,7,-73,
A,1,5,2500,7,-73,
A,1,6,3000,7,-73,
A,1,7,3500,7,-73,
A,1,8,4000,7,-73,
A,1,9,4500,7,-73,
A,2,0,0,1,-87,
A,2,0,0,2,-87,
A,2,1,500,2,-87,
A,2,2,1000,2,-87,
A,2,3,1500,2,-87,
A,2,4,2000,2,-87,
A,2,5,2500,2,-87,
A,2,9,4500,2,-87,
A,2,0,0,3,-83,
A,2,1,500,3,-83,
A,2,2,1000,3,-83,
A,2,3,1500,3,-83,
A,2,5,2500,3,-83,
A,2,6,3000,3,-83,
A,2,9,4500,3,-83,
A,2,0,0,4,-83,
A,2,1,500,4,-82,
A,2,2,1000,4,-78,
A,2,3,1500,4,-78,
A,2,4,2000,4,-78,
A,2,5,2500,4,-78,
A,2,6,3000,4,-78,
A,2,7,3500,4,-78,
A,2,8,4000,4,-78,
A,2,9,4500,4,-78,
A,2,0,0,5,-78,
A,2,1,500,5,-78,
A,2,2,1000,5,-78,
A,2,3,1500,5,-78,
A,2,4,2000,5,-78,
A,2,5,2500,5,-78,
A,2,6,3000,5,-78,
A,2,7,3500,5,-78,
A,2,8,4000,5,-78,
A,2,9,4500,5,-78,
A,2,0,0,6,-78,
A,2,1,500,6,-73,
A,2,2,1000,6,-73,
A,2,3,1500,6,-73,
A,2,4,2000,6,-73,
A,2,5,2500,6,-73,
A,2,6,3000,6,-73,
A,2,7,3500,6,-73,
A,2,8,4000,6,-73,
A,2,9,4500,6,-73,
A,2,0,0,7,-73,
A,2,1,500,7,-73,
A,2,2,1000,7,-73,
A,2,3,1500,7,-73,
A,2,4,2000,7,-73,
A,2,5,2500,7,-73,
A,2,6,3000,7,-73,
A,2,7,3500,7,-73,
A,2,8,4000,7,-73,
A,2,9,4500,7,-73,
A,3,5,2500,2,-87,
A,3,6,3000,2,-87,
A,3,8,4000,2,-87,
A,3,0,0,3,-83,
A,3,1,500,3,-83,
A,3,2,1000,3,-83,
A,3,3,1500,3,-83,
A,3,4,2000,3,-83,
A,3,5,2500,3,-83,
A,3,6,3000,3,-83,
A,3,7,3500,3,-83,
A,3,9,4500,3,-83,
A,3,0,0,4,-82,
A,3,1,500,4,-83,
A,3,2,1000,4,-83,
A,3,3,1500,4,-83,
A,3,4,2000,4,-83,
A,3,5,2500,4,-83,
A,3,6,3000,4,-78,
A,3,7,3500,4,-78,
A,3,8,4000,4,-78,
A,3,9,4500,4,-83,
A,3,0,0,5,-78,
A,3,1,500,5,-78,
A,3,2,1000,5,-78,
A,3,3,1500,5,-78,
A,3,4,2000,5,-78,
A,3,5,2500,5,-78,
A,3,6,3000,5,-78,
A,3,7,3500,5,-78,
A,3,8,4000,5,-78,
A,3,9,4500,5,-78,
A,3,0,0,6,-78,
A,3,1,500,6,-73,
A,3,3,1500,6,-78,
A,3,4,2000,6,-78,
A,3,5,2500,6,-83,
A,3,6,3000,6,-83,
A,3,7,3500,6,-82,
A,3,8,4000,6,-83,
A,3,9,4500,6,-83,
A,3,0,0,7,-83,
A,3,1,500,7,-83,
A,3,2,1000,7,-78,
A,3,3,1500,7,-78,
A,3,4,2000,7,-83,
A,3,5,2500,7,-83,
A,3,6,3000,7,-82,
A,3,7,3500,7,-78,
A,3,8,4000,7,-83,
A,3,9,4500,7,-78,
A,4,0,0,4,-87,
A,4,2,1000,4,-87,
A,4,3,1500,4,-87,
A,4,4,2000,4,-83,
A,4,5,2500,4,-87,
A,4,6,3000,4,-83,
A,4,7,3500,4,-87,
A,4,8,4000,4,-83,
A,4,9,4500,4,-83,
A,4,0,0,5,-83,
A,4,1,500,5,-83,
A,4,2,1000,5,-87,
A,4,3,1500,5,-83,
A,4,4,2000,5,-83,
A,4,5,2500,5,-83,
A,4,6,3000,5,-83,
A,4,7,3500,5,-83,
A,4,8,4000,5,-83,
A,4,9,4500,5,-83,
A,4,0,0,6,-83,
A,4,1,500,6,-83,
A,4,2,1000,6,-82,
A,4,3,1500,6,-83,
A,4,4,2000,6,-83,
A,4,5,2500,6,-83,
A,4,6,3000,6,-83,
A,4,7,3500,6,-83,
A,4,8,4000,6,-83,
A,4,9,4500,6,-83,
A,4,0,0,7,-83,
A,4,1,500,7,-83,
A,4,2,1000,7,-83,
A,4,3,1500,7,-83,
A,4,4,2000,7,-83,
A,4,5,2500,7,-83,
A,4,6,3000,7,-83,
A,4,7,3500,7,-83,
A,4,8,4000,7,-83,
A,4,9,4500,7,-83,
A,5,4,2000,2,-87,
A,5,7,3500,2,-87,
A,5,8,4000,2,-87,
A,5,9,4500,2,-87,
A,5,0,0,3,-83,
A,5,1,500,3,-83,
A,5,2,1000,3,-87,
A,5,3,1500,3,-87,
A,5,4,2000,3,-87,
A,5,5,2500,3,-87,
A,5,6,3000,3,-87,
A,5,7,3500,3,-87,
A,5,8,4000,3,-87,
A,5,9,4500,3,-87,
A,5,0,0,4,-83,
A,5,1,500,4,-83,
A,5,2,1000,4,-83,
A,5,3,1500,4,-83,
A,5,8,4000,4,-87,
A,5,0,0,5,-87,
A,5,1,500,5,-87,
A,5,2,1000,5,-87,
A,5,3,1500,5,-87,
A,5,4,2000,5,-83,
A,5,5,2500,5,-83,
A,5,6,3000,5,-83,
A,5,7,3500,5,-87,
A,5,8,4000,5,-83,
A,5,9,4500,5,-83,
A,5,0,0,6,-83,
A,5,1,500,6,-83,
A,5,2,1000,6,-87,
A,5,3,1500,6,-83,
A,5,4,2000,6,-87,
A,5,5,2500,6,-83,
A,5,7,3500,6,-83,
A,5,8,4000,6,-83,
A,5,9,4500,6,-83,
A,5,0,0,7,-66,
A,5,2,1000,7,-83,
A,5,3,1500,7,-83,
A,5,4,2000,7,-83,
A,5,5,2500,7,-83,
A,5,6,3000,7,-83,
A,5,7,3500,7,-83,
A,5,8,4000,7,-83,
A,5,9,4500,7,-82,
A,6,4,2000,2,-83,
A,6,5,2500,2,-83,
A,6,6,3000,2,-83,
A,6,7,3500,2,-83,
A,6,8,4000,2,-83,
A,6,9,4500,2,-83,
A,6,0,0,3,-78,
A,6,1,500,3,-83,
A,6,4,2000,3,-78,
A,6,5,2500,3,-78,
A,6,6,3000,3,-78,
A,6,7,3500,3,-78,
A,6,8,4000,3,-78,
A,6,9,4500,3,-78,
A,6,0,0,4,-73,
A,6,1,500,4,-78,
A,6,2,1000,4,-73,
A,6,3,1500,4,-83,
A,6,4,2000,4,-82,
A,6,5,2500,4,-83,
A,6,6,3000,4,-83,
A,6,7,3500,4,-83,
A,6,8,4000,4,-83,
A,6,9,4500,4,-83,
A,6,0,0,5,-83,
A,6,1,500,5,-83,
A,6,2,1000,5,-83,
A,6,3,1500,5,-83,
A,6,4,2000,5,-83,
A,6,5,2500,5,-83,
A,6,6,3000,5,-83,
A,6,7,3500,5,-82,
A,6,8,4000,5,-78,
A,6,9,4500,5,-83,
A,6,0,0,6,-78,
A,6,1,500,6,-78,
A,6,2,1000,6,-78,
A,6,3,1500,6,-83,
A,6,5,2500,6,-87,
A,6,6,3000,6,-83,
